"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-APC-A :: OVA-Tet","Comp-APC-Fire 750-A :: CD3","Comp-APC-Fire 810-A :: CD4","Comp-Alexa Fluor 488-A :: TCF1","Comp-Alexa Fluor 532-A :: CD8","Comp-Alexa Fluor 700-A :: CD101","Comp-BV421-A :: Tbet","Comp-BV510-A :: CD62L","Comp-BV570-A :: CD44","Comp-BV605-A :: CD45.1","Comp-BV650-A :: CX3CR1","Comp-BV711-A :: CD45.2","Comp-BV785-A :: CD69","Comp-CellTrace Violet-A :: CTV","Comp-PE-A :: Ly108","Comp-PE-Cy7-A :: EOMES","Comp-PE-Dazzle594-A :: PD1","Comp-PerCP-eFluor 710-A :: TIM3","Comp-Zombie NIR-A :: Viability","Time"
559,402,204,132,75,55,200,104,185,650,475,259,616,610,475,363,304,696,286,360,692,529,673,624,399,344,284,197,662
523,435,176,124,64,52,180,108,167,620,442,331,481,529,394,315,361,667,430,312,592,293,300,641,378,462,404,292,663
546,419,191,146,79,62,189,125,171,540,474,242,486,542,422,399,373,690,303,291,644,290,281,526,362,373,316,253,677
636,458,203,132,67,50,199,105,184,659,540,282,697,593,527,442,318,706,455,371,682,247,280,669,390,609,280,239,682
455,384,173,79,46,39,173,70,165,540,425,264,501,479,432,291,605,642,356,311,645,275,613,537,354,292,284,255,687
464,382,178,103,56,46,178,90,166,624,455,288,521,564,451,321,603,688,335,318,674,238,653,531,325,306,298,252,695
443,346,187,124,65,50,191,105,173,669,469,235,376,604,553,282,308,666,286,368,704,534,725,539,362,387,294,187,708
562,409,201,153,83,65,186,130,172,580,430,287,479,546,417,352,329,712,412,358,583,308,301,550,383,400,438,282,710
548,459,175,119,66,54,180,106,164,602,425,299,257,504,457,279,331,663,400,342,582,276,299,602,294,547,289,253,711
238,184,190,74,36,29,181,64,168,533,619,417,588,461,553,345,278,620,320,495,639,326,285,552,362,485,361,233,712
